#Data tag : 23v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 279683:5256 | 08/27/16 22:32:16 | 34   | 31   | 0.008739056    | 0.006345290   |
| 279684:5256 | 08/27/16 22:47:00 | 34   | 30   | 0.008541329    | 0.005283744   |
| 279685:5256 | 08/27/16 23:07:12 | 208  | 208  | 0.050051773    | 0.048458594   |
| 279691:5257 | 08/28/16 03:41:27 | 54   | 50   | 0.013287595    | 0.009628621   |
| 279694:5257 | 08/28/16 04:03:10 | 2235 | 2235 | 0.416133733    | 0.404202553   |
| 279715:5258 | 08/28/16 22:01:35 | 577  | 577  | 0.133906542    | 0.128527422   |
| 279716:5258 | 08/29/16 02:17:07 | 1638 | 1638 | 0.263055015    | 0.256276237   |
| 279760:5261 | 08/29/16 20:21:24 | 664  | 658  | 0.161057779    | 0.154041157   |
| 279766:5261 | 08/30/16 01:08:37 | 1694 | 1690 | 0.276817133    | 0.268295317   |
| 279767:5261 | 08/30/16 12:08:03 | 776  | 776  | 0.090978123    | 0.088962903   |
| 279794:5264 | 08/30/16 23:41:02 | 1024 | 1024 | 0.230549758    | 0.223644596   |
| 279823:5265 | 08/31/16 10:00:40 | 335  | 335  | 0.084438478    | 0.081899626   |
| 279841:5266 | 08/31/16 15:23:18 | 2040 | 2040 | 0.392569670    | 0.380260616   |
| 279844:5267 | 09/01/16 07:21:17 | 233  | 224  | 0.061510523    | 0.056480800   |
| 279887:5270 | 09/01/16 23:20:53 | 319  | 319  | 0.076790313    | 0.072932440   |
| 279931:5274 | 09/02/16 11:37:40 | 2936 | 2936 | 0.485408961    | 0.470459175   |
