#Data tag : 23v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 318733:6850 | 06/26/18 22:28:18 | 33   | 33   | 0.002877056    | 0.002690376   |
| 318828:6858 | 06/28/18 06:30:24 | 70   | 70   | 0.013258133    | 0.012822714   |
| 318872:6860 | 06/28/18 15:50:31 | 272  | 272  | 0.091132358    | 0.087901767   |
| 318874:6860 | 06/28/18 17:39:39 | 320  | 320  | 0.099322393    | 0.094917432   |
| 318876:6860 | 06/28/18 19:45:23 | 161  | 161  | 0.046586927    | 0.044263060   |
| 318877:6860 | 06/28/18 20:49:22 | 615  | 615  | 0.155978081    | 0.151711508   |
| 319077:6874 | 07/01/18 23:27:46 | 41   | 41   | 0.016224535    | 0.015766860   |
| 319337:6901 | 07/08/18 02:05:51 | 2193 | 2193 | 0.229074637    | 0.224324314   |
| 319347:6904 | 07/08/18 19:53:19 | 651  | 651  | 0.222497742    | 0.204766917   |
| 319348:6904 | 07/09/18 00:07:18 | 37   | 37   | 0.010608955    | 0.004835226   |
| 319349:6904 | 07/09/18 00:23:35 | 148  | 148  | 0.040591824    | 0.039507168   |
| 319449:6909 | 07/09/18 20:59:33 | 698  | 698  | 0.252192610    | 0.242064020   |
| 319450:6909 | 07/10/18 01:32:45 | 681  | 681  | 0.205757065    | 0.200470473   |
| 319456:6909 | 07/10/18 07:08:41 | 209  | 209  | 0.052149064    | 0.050200471   |
| 319459:6909 | 07/10/18 08:32:35 | 78   | 78   | 0.017018872    | 0.016604106   |
| 319486:6911 | 07/11/18 09:10:22 | 66   | 66   | 0.020491516    | 0.019793443   |
| 319503:6911 | 07/11/18 17:30:46 | 317  | 317  | 0.092146337    | 0.088425198   |
| 319524:6912 | 07/11/18 22:27:30 | 1424 | 1424 | 0.457680595    | 0.443998620   |
| 319526:6912 | 07/12/18 08:14:19 | 282  | 282  | 0.069448185    | 0.067401676   |
| 319528:6912 | 07/12/18 10:11:01 | 259  | 259  | 0.058992260    | 0.057641081   |
| 319579:6919 | 07/13/18 04:43:17 | 3128 | 3128 | 0.792754572    | 0.769975202   |
| 319625:6921 | 07/14/18 14:05:52 | 190  | 190  | 0.069908363    | 0.067638151   |
| 319639:6923 | 07/14/18 18:52:14 | 1479 | 1479 | 0.405126201    | 0.391545482   |
| 319656:6924 | 07/15/18 07:24:28 | 260  | 260  | 0.088889054    | 0.084257659   |
| 319657:6924 | 07/15/18 09:09:07 | 167  | 167  | 0.051427028    | 0.049562896   |
| 319658:6924 | 07/15/18 10:16:05 | 225  | 225  | 0.061997897    | 0.059873546   |
| 319659:6924 | 07/15/18 11:50:27 | 87   | 87   | 0.021613693    | 0.020840353   |
| 319678:6925 | 07/15/18 15:20:14 | 259  | 259  | 0.094975237    | 0.091522160   |
| 319687:6927 | 07/15/18 22:28:05 | 45   | 45   | 0.015832632    | 0.015411231   |
| 319697:6929 | 07/16/18 02:17:41 | 437  | 437  | 0.061184365    | 0.058972434   |
| 319698:6929 | 07/16/18 05:13:10 | 312  | 312  | 0.036044334    | 0.035196072   |
| 319756:6931 | 07/16/18 15:39:05 | 1923 | 1923 | 0.485206472    | 0.469065952   |
| 319840:6939 | 07/17/18 22:27:54 | 348  | 348  | 0.050153644    | 0.048669486   |
| 319841:6939 | 07/18/18 00:44:34 | 167  | 167  | 0.020327954    | 0.019819149   |
| 319847:6940 | 07/18/18 04:02:31 | 3    | 3    | 0.001277116    | 0.000841615   |
| 319848:6940 | 07/18/18 04:04:46 | 53   | 53   | 0.019111285    | 0.018265083   |
| 319849:6940 | 07/18/18 04:28:03 | 492  | 492  | 0.172707880    | 0.166302643   |
| 319851:6940 | 07/18/18 07:46:30 | 4    | 4    | 0.001196603    | 0.001079057   |
| 319853:6940 | 07/18/18 08:01:32 | 256  | 256  | 0.070130835    | 0.068129151   |
| 319854:6940 | 07/18/18 09:44:35 | 225  | 225  | 0.052809761    | 0.051348575   |
| 319908:6942 | 07/19/18 02:40:13 | 51   | 51   | 0.018766636    | 0.017509944   |
| 319909:6942 | 07/19/18 03:03:14 | 7    | 7    | 0.002631177    | 0.001060008   |
| 319910:6942 | 07/19/18 03:09:21 | 983  | 983  | 0.302092243    | 0.291924794   |
| 319912:6942 | 07/19/18 09:34:18 | 59   | 59   | 0.013546626    | 0.012831087   |
| 319913:6942 | 07/19/18 09:59:25 | 56   | 56   | 0.012444079    | 0.011998373   |
| 319914:6942 | 07/19/18 10:22:49 | 32   | 32   | 0.006932253    | 0.006575991   |
| 319915:6942 | 07/19/18 10:37:24 | 416  | 416  | 0.085023915    | 0.083004105   |
| 319941:6944 | 07/19/18 19:59:36 | 256  | 256  | 0.094882184    | 0.090461631   |
| 319942:6944 | 07/19/18 21:41:31 | 50   | 50   | 0.017178971    | 0.016725164   |
| 319950:6946 | 07/20/18 02:45:31 | 168  | 168  | 0.065026653    | 0.063223121   |
| 319991:6953 | 07/20/18 15:48:52 | 837  | 837  | 0.280082693    | 0.270085593   |
| 319992:6953 | 07/20/18 21:15:40 | 264  | 264  | 0.065287553    | 0.062666746   |
| 319993:6953 | 07/20/18 23:01:06 | 955  | 955  | 0.179342140    | 0.174501869   |
| 320002:6956 | 07/21/18 08:17:33 | 141  | 141  | 0.050292764    | 0.048072125   |
| 320006:6956 | 07/21/18 09:46:33 | 340  | 340  | 0.112776344    | 0.109199093   |
| 320010:6956 | 07/21/18 14:27:42 | 330  | 330  | 0.073239467    | 0.071341975   |
| 320011:6956 | 07/21/18 16:38:02 | 302  | 302  | 0.060281367    | 0.058383576   |
| 320012:6956 | 07/21/18 18:38:20 | 99   | 99   | 0.017871570    | 0.017270701   |
| 320023:6957 | 07/21/18 21:33:04 | 276  | 276  | 0.099475302    | 0.094555245   |
| 320024:6957 | 07/21/18 23:21:36 | 410  | 410  | 0.124655613    | 0.120816459   |
| 320025:6957 | 07/22/18 02:03:22 | 113  | 113  | 0.029819952    | 0.028750569   |
| 320026:6957 | 07/22/18 02:49:56 | 204  | 204  | 0.049242065    | 0.047830318   |
| 320038:6960 | 07/22/18 07:09:05 | 621  | 621  | 0.217683001    | 0.209334058   |
| 320039:6960 | 07/22/18 11:13:46 | 30   | 30   | 0.008739535    | 0.007821492   |
| 320040:6960 | 07/22/18 11:29:07 | 737  | 737  | 0.175220043    | 0.169552592   |
| 320059:6961 | 07/22/18 18:43:23 | 105  | 105  | 0.041810535    | 0.039193371   |
| 320060:6961 | 07/22/18 19:27:06 | 42   | 42   | 0.015830536    | 0.015045479   |
| 320061:6961 | 07/22/18 19:46:28 | 49   | 49   | 0.018289350    | 0.017478076   |
| 320062:6961 | 07/22/18 20:06:51 | 21   | 21   | 0.007661470    | 0.006646537   |
| 320063:6961 | 07/22/18 20:17:41 | 64   | 64   | 0.022681520    | 0.021200481   |
| 320064:6961 | 07/22/18 20:48:07 | 200  | 200  | 0.065424323    | 0.062043838   |
| 320065:6961 | 07/22/18 22:09:31 | 920  | 920  | 0.224547816    | 0.216994982   |
| 320673:7005 | 08/01/18 02:33:02 | 867  | 867  | 0.063812094    | 0.062554259   |
| 320674:7005 | 08/01/18 08:11:46 | 599  | 599  | 0.033154576    | 0.032614851   |
| 320688:7006 | 08/01/18 15:24:07 | 483  | 483  | 0.128787710    | 0.124551563   |
| 320712:7008 | 08/02/18 02:45:02 | 204  | 204  | 0.068829486    | 0.066568795   |
| 320757:7013 | 08/02/18 14:37:56 | 332  | 332  | 0.115644695    | 0.111614819   |
| 320804:7017 | 08/03/18 07:27:51 | 1229 | 1229 | 0.316203790    | 0.304795703   |
| 320807:7017 | 08/03/18 15:28:47 | 7    | 7    | 0.001260758    | 0.000321847   |
| 320809:7017 | 08/03/18 15:43:13 | 716  | 716  | 0.104132651    | 0.101477412   |
| 320821:7018 | 08/03/18 23:57:33 | 181  | 181  | 0.060138289    | 0.057699681   |
| 320822:7018 | 08/04/18 01:09:17 | 523  | 523  | 0.147971016    | 0.142985422   |
| 320823:7018 | 08/04/18 04:34:31 | 360  | 360  | 0.079033405    | 0.076341415   |
| 320824:7018 | 08/04/18 06:55:49 | 1051 | 1051 | 0.160676480    | 0.156528562   |
| 320838:7020 | 08/04/18 17:31:13 | 265  | 265  | 0.092608755    | 0.088238185   |
| 320840:7020 | 08/04/18 19:20:16 | 471  | 471  | 0.140154842    | 0.134610618   |
| 320841:7020 | 08/04/18 22:26:04 | 205  | 205  | 0.049926242    | 0.048161950   |
| 320853:7024 | 08/05/18 06:48:21 | 329  | 329  | 0.116976509    | 0.112844414   |
| 320854:7024 | 08/05/18 08:59:07 | 125  | 125  | 0.039550083    | 0.037853758   |
| 320855:7024 | 08/05/18 09:50:43 | 565  | 565  | 0.145061633    | 0.139939092   |
| 320856:7024 | 08/05/18 13:36:29 | 159  | 159  | 0.033008915    | 0.031944004   |
| 320857:7024 | 08/05/18 14:39:58 | 272  | 272  | 0.052233767    | 0.050428413   |
| 320858:7024 | 08/05/18 16:27:34 | 230  | 230  | 0.037256531    | 0.035804848   |
| 320859:7024 | 08/05/18 18:00:17 | 40   | 40   | 0.004907718    | 0.004698480   |
| 320887:7026 | 08/05/18 22:38:35 | 273  | 273  | 0.103210420    | 0.099880757   |
| 320888:7026 | 08/06/18 00:26:11 | 26   | 26   | 0.009341207    | 0.009088733   |
| 320916:7031 | 08/06/18 09:12:39 | 24   | 24   | 0.007010464    | 0.006309333   |
| 320917:7031 | 08/06/18 09:25:18 | 1926 | 1926 | 0.470559556    | 0.456327180   |
| 320920:7031 | 08/06/18 21:56:15 | 178  | 178  | 0.023538803    | 0.022913347   |
| 320933:7033 | 08/07/18 03:29:36 | 175  | 172  | 0.052866149    | 0.049574394   |
| 320934:7033 | 08/07/18 04:38:32 | 831  | 826  | 0.208551314    | 0.200870547   |
| 320936:7033 | 08/07/18 10:01:23 | 407  | 400  | 0.079140195    | 0.074725832   |
| 320941:7033 | 08/07/18 12:39:42 | 93   | 93   | 0.015435753    | 0.014931535   |
| 320980:7035 | 08/07/18 15:52:40 | 99   | 99   | 0.037909712    | 0.036811521   |
| 320995:7036 | 08/07/18 19:28:56 | 189  | 183  | 0.028235488    | 0.025050577   |
| 320996:7036 | 08/07/18 20:42:31 | 380  | 380  | 0.048952324    | 0.046755097   |
| 321004:7037 | 08/08/18 01:47:43 | 150  | 147  | 0.048977824    | 0.044806461   |
| 321005:7037 | 08/08/18 02:48:15 | 61   | 61   | 0.020429638    | 0.018326626   |
| 321006:7037 | 08/08/18 03:15:06 | 162  | 162  | 0.051660760    | 0.049393089   |
| 321007:7037 | 08/08/18 04:19:57 | 831  | 829  | 0.200415621    | 0.193443219   |
| 321009:7037 | 08/08/18 09:43:26 | 85   | 79   | 0.015881454    | 0.014041920   |
| 321010:7037 | 08/08/18 10:16:22 | 342  | 342  | 0.056960320    | 0.054547858   |
| 321011:7037 | 08/08/18 12:32:48 | 213  | 211  | 0.030335486    | 0.027602105   |
| 321012:7037 | 08/08/18 13:58:31 | 47   | 47   | 0.005137674    | 0.004739970   |
| 321051:7039 | 08/09/18 03:17:55 | 1122 | 1113 | 0.334957785    | 0.317240487   |
| 321055:7039 | 08/09/18 10:35:37 | 730  | 730  | 0.131326263    | 0.128356896   |
| 321067:7040 | 08/09/18 18:21:45 | 595  | 593  | 0.183290061    | 0.175777421   |
| 321068:7040 | 08/09/18 22:16:40 | 715  | 707  | 0.156027319    | 0.150153213   |
| 321069:7040 | 08/10/18 02:54:15 | 313  | 313  | 0.052451333    | 0.050677554   |
| 321119:7042 | 08/10/18 15:12:52 | 170  | 169  | 0.063942166    | 0.059637063   |
| 321121:7042 | 08/10/18 16:22:07 | 47   | 46   | 0.017671150    | 0.016105827   |
| 321122:7042 | 08/10/18 16:42:12 | 395  | 391  | 0.130432005    | 0.122549874   |
| 321124:7042 | 08/10/18 19:20:27 | 819  | 818  | 0.196841560    | 0.189121143   |
| 321126:7042 | 08/11/18 01:03:46 | 493  | 493  | 0.083363905    | 0.080762548   |
| 321134:7043 | 08/11/18 08:39:56 | 38   | 38   | 0.008620202    | 0.008342897   |
| 321138:7043 | 08/11/18 09:32:56 | 741  | 735  | 0.154414267    | 0.145742181   |
| 321140:7043 | 08/11/18 14:25:01 | 798  | 798  | 0.123219548    | 0.120397847   |
| 321149:7045 | 08/11/18 22:25:56 | 1697 | 1697 | 0.455285704    | 0.442083311   |
