--------------------------------------------------------
EVENT #1
--------------------------------------------------------
element | pdgId    | status  | mothers           | daughters         | pT           | Eta          | Phi          | E            | mass
45      | 2212     | 1       | 0                 |                   | 9.70727      | 2.80736      | -0.0476244   | 80.7047      | 0.93827      
46      | 111      | 2       | 0                 | 54                | 15.422       | 0.449733     | 2.9277       | 17.0086      | 0.13498      
47      | 2212     | 1       | 0                 |                   | 0.940447     | -1.24779     | 2.79527      | 2.00564      | 0.93827      
48      | 323      | 2       | 0                 | 53                | 2.41126      | -1.63999     | 2.51599      | 6.50074      | 0.81798      
49      | 3        | 71      | 0                 | 56-57 61-62       | 2.20923      | -4.82122     | -1.59889     | 137.111      | 0.711658     
50      | -3       | 71      | 0                 | 56-57 61-62       | 2.9088       | -4.48347     | -0.0983083   | 128.792      | 0.5          
51      | 310      | 1       | 0                 |                   | 1.11707      | 2.01117      | 3.08546      | 4.27724      | 0.49761      
52      | 111      | 2       | 0                 | 58-59             | 36.2039      | 0.404821     | 2.89725      | 39.2114      | 0.13498      
53      | 310      | 1       | 0                 |                   | 1.93095      | -1.71466     | 2.55988      | 5.55912      | 0.49761      
54      | 22       | 1       | 0                 |                   | 13.8128      | 0.452564     | 2.9268       | 15.2516      | -2.92002e-07 
55      | 111      | 2       | 0                 | 60                | 15.9716      | 0.408792     | 2.88521      | 17.3253      | 0.13498      
56      | 11       | 1       | 0                 |                   | 1.18643      | -4.80429     | 0.0804982    | 72.3964      | 0.000510999  
57      | -11      | 1       | 0                 |                   | 0.282489     | -4.9442      | 0.331759     | 19.8259      | 0.000510999  
58      | 22       | 1       | 0                 |                   | 11.7428      | 0.399723     | 2.89898      | 12.6935      | -3.09715e-07 
59      | 22       | 1       | 0                 |                   | 24.4611      | 0.407264     | 2.89641      | 26.5179      | -4.29815e-07 
60      | 22       | 1       | 0                 |                   | 10.3766      | 0.41497      | 2.88562      | 11.283       | 1.46001e-07  
61      | 11       | 1       | 0                 |                   | 0.0275277    | -0.241129    | -3.06042     | 0.0283364    | 0.000511     
62      | -11      | 1       | 0                 |                   | 0.0371773    | -0.160143    | -3.03358     | 0.0376585    | 0.000511     
--------------------------------------------------------
EVENT #4
--------------------------------------------------------
element | pdgId    | status  | mothers           | daughters         | pT           | Eta          | Phi          | E            | mass
1       | 2212     | 4       | 0                 | 3 21-24           | 0            | 29256        | 0            | 6500         | 0.93827      
2       | 2212     | 4       | 0                 | 4 22-24           | 0            | -29256       | 0            | 6500         | 0.93827      
3       | 21       | 21      | 0                 | 5                 | 0            | 22969.9      | 0            | 213.941      | 0            
4       | 21       | 21      | 0                 | 5                 | 0            | -24560.1     | 0            | 1804.14      | 0            
5       | 25       | 22      | 0                 | 6                 | 0            | -24346.2     | 0            | 2018.08      | 1242.54      
6       | 25       | 44      | 0                 | 7                 | 10.5103      | -5.7106      | -1.85936     | 2015.83      | 1242.54      
7       | 25       | 44      | 0                 | 8                 | 16.2097      | -5.27768     | -1.57699     | 2016.27      | 1242.54      
8       | 25       | 44      | 0                 | 9                 | 18.7647      | -5.13146     | -1.76827     | 2016.46      | 1242.54      
9       | 25       | 62      | 0                 | 10-11             | 18.8265      | -5.12818     | -1.62949     | 2016.47      | 1242.54      
10      | 4900001  | 22      | 0                 | 12-13             | 326.337      | -2.32206     | -0.0732947   | 1680.55      | 50.8487      
11      | -4900001 | 22      | 0                 | 14-15             | 326.605      | 0.181895     | 3.12597      | 335.916      | 50.9904      
12      | 4900022  | 22      | 0                 | 16-18             | 311.035      | -2.27881     | -0.0904164   | 1534.57      | 2.01503      
13      | 4900004  | 1       | 0                 |                   | 16.2454      | -2.88566     | 0.260676     | 145.988      | 2            
14      | 4900022  | 22      | 0                 | 19-20             | 206.437      | 0.069836     | 3.09444      | 207.214      | 10.6381      
15      | -4900004 | 1       | 0                 |                   | 120.447      | 0.367813     | -3.10317     | 128.702      | 2            
16      | 211      | 1       | 0                 |                   | 33.8554      | -2.29177     | -0.084075    | 169.167      | 0.13957      
17      | -211     | 1       | 0                 |                   | 232.142      | -2.27565     | -0.0905255   | 1141.79      | 0.13957      
18      | 111      | 2       | 0                 | 25-26             | 45.0389      | -2.28521     | -0.0946208   | 223.606      | 0.13498      
19      | 13       | 1       | 0                 |                   | 96.5817      | 0.115198     | 3.06359      | 97.2233      | 0.10566      
20      | -13      | 1       | 0                 |                   | 109.942      | 0.0298102    | 3.12155      | 109.991      | 0.10566      
21      | 21       | 71      | 0                 | 22-23             | 7.79077      | 1.77609      | 1.00565      | 23.6699      | 0.266213     
22      | 2212     | 1       | 0                 |                   | 0.615923     | -3.37682     | 0.946601     | 9.07548      | 0.93827      
23      | 333      | 2       | 0                 | 27-28             | 0.455635     | -2.43302     | -2.18513     | 2.80568      | 1.01522      
24      | 310      | 1       | 0                 |                   | 1.56267      | -1.2497      | 1.20777      | 2.99191      | 0.49761      
25      | 22       | 1       | 0                 |                   | 32.3367      | -2.28435     | -0.0929475   | 160.408      | -2.6974e-06  
26      | 22       | 1       | 0                 |                   | 12.7023      | -2.28737     | -0.0988806   | 63.1976      | 0            
27      | 321      | 1       | 0                 |                   | 0.333479     | -2.07206     | -1.97162     | 1.43283      | 0.49368      
28      | -321     | 1       | 0                 |                   | 0.147724     | -2.84987     | -2.68388     | 1.37285      | 0.49368      
--------------------------------------------------------
EVENT #5
--------------------------------------------------------
element | pdgId    | status  | mothers           | daughters         | pT           | Eta          | Phi          | E            | mass
1       | 2212     | 4       | 0                 | 3 21-27 29 31-32 35-38 43-57 59-66 82-83 | 0            | 29256        | 0            | 6500         | 0.93827      
2       | 2212     | 4       | 0                 | 4 21 33-36 39-47 55-57 59-66 82-83 | 0            | -29256       | 0            | 6500         | 0.93827      
3       | 21       | 21      | 0                 | 5                 | 0            | 22988        | 0            | 231.979      | 0            
4       | 21       | 21      | 0                 | 5                 | 0            | -24218.4     | 0            | 1462.36      | 0            
5       | 25       | 22      | 0                 | 6                 | 0            | -23986.4     | 0            | 1694.34      | 1164.88      
6       | 25       | 44      | 0                 | 7                 | 640.773      | -1.03462     | 0.483654     | 1545.33      | 1164.88      
7       | 25       | 44      | 0                 | 8                 | 659.291      | -1.01546     | 0.373555     | 1554.57      | 1164.88      
8       | 25       | 44      | 0                 | 9                 | 687.037      | -0.97753     | 0.42906      | 1563.1       | 1164.88      
9       | 25       | 44      | 0                 | 10                | 695.492      | -0.975241    | 0.425035     | 1570.46      | 1164.88      
10      | 25       | 62      | 0                 | 11-12             | 695.678      | -0.974973    | 0.424959     | 1570.51      | 1164.88      
11      | 4900001  | 22      | 0                 | 13-14             | 727.793      | -1.12886     | 0.0903455    | 1243.91      | 50.0224      
12      | -4900001 | 22      | 0                 | 15-16             | 239.153      | 0.813033     | 1.96125      | 326.607      | 50.7084      
13      | 4900022  | 22      | 0                 | 17-18             | 134.169      | -1.05725     | -0.0359215   | 216.408      | 1.2175       
14      | 4900004  | 1       | 0                 |                   | 594.933      | -1.14269     | 0.118749     | 1027.5       | 2            
15      | 4900022  | 22      | 0                 | 19-20             | 103.718      | 0.616699     | 1.99093      | 125.569      | 19.3215      
16      | -4900004 | 1       | 0                 |                   | 135.516      | 0.947453     | 1.93854      | 201.038      | 2            
17      | 211      | 1       | 0                 |                   | 11.6682      | -1.03046     | -0.0342772   | 18.4316      | 0.13957      
18      | -211     | 1       | 0                 |                   | 122.501      | -1.05977     | -0.0360781   | 197.976      | 0.13957      
19      | 13       | 1       | 0                 |                   | 32.0239      | 0.860191     | 1.8785       | 44.6205      | 0.10566      
20      | -13      | 1       | 0                 |                   | 71.9855      | 0.493975     | 2.04086      | 80.9483      | 0.10566      
21      | 21       | 73      | 0                 | 28                | 7.36804      | 1.78363      | 1.7229       | 22.5452      | 0.212968     
22      | 21       | 73      | 0                 | 30                | 24.5654      | 1.9315       | 1.62399      | 86.5304      | 0.477978     
23      | 2        | 72      | 0                 | 56-57 64-65 82-83 | 37.8089      | 4.32762      | -3.00599     | 1432.52      | 0.33         
24      | 21       | 72      | 0                 | 56-57 64-65 82-83 | 12.8281      | 3.61891      | 2.10507      | 239.395      | 6.03157e-06  
25      | 21       | 72      | 0                 | 56-57 64-65 82-83 | 14.1286      | 3.62825      | 2.17006      | 266.137      | 7.62939e-06  
26      | 21       | 72      | 0                 | 56-57 64-65 82-83 | 6.62689      | 1.82566      | 2.06432      | 21.1         | 6.7435e-07   
27      | 21       | 72      | 0                 | 56-57 64-65 82-83 | 10.413       | 1.92408      | 2.18514      | 36.4184      | 9.53674e-07  
28      | 21       | 72      | 0                 | 56-57 64-65 82-83 | 7.36804      | 1.78363      | 1.7229       | 22.5452      | 0.212968     
29      | 21       | 72      | 0                 | 56-57 64-65 82-83 | 7.28478      | 1.87888      | 1.55194      | 24.4         | 4.76837e-07  
30      | 21       | 72      | 0                 | 56-57 64-65 82-83 | 24.5654      | 1.9315       | 1.62399      | 86.5304      | 0.477978     
31      | 21       | 72      | 0                 | 56-57 64-65 82-83 | 14.672       | 0.982831     | 2.54169      | 22.3474      | 2.38419e-07  
32      | -2       | 72      | 0                 | 56-57 64-65 82-83 | 0.97075      | 1.44163      | 3.04307      | 2.19176      | 0.33         
33      | 2        | 71      | 0                 | 58 67-68          | 0.685425     | -6.24701     | -2.1236      | 177          | 0.33         
34      | 2203     | 71      | 0                 | 58 67-68          | 0.181901     | -8.08614     | 2.97102      | 295.509      | 0.77133      
35      | 333      | 2       | 0                 | 69-70             | 1.20458      | -0.0533074   | -1.85571     | 1.57888      | 1.01869      
36      | 333      | 2       | 0                 | 71-72             | 0.577961     | 0.364316     | 2.48076      | 1.1944       | 1.02284      
37      | 2        | 71      | 0                 |                   | 24.9304      | 1.05158      | 2.81866      | 40.034       | 0.33         
38      | 21       | 71      | 0                 |                   | 14.1409      | 1.05725      | 2.77118      | 22.8083      | 4.76837e-07  
39      | 1        | 71      | 0                 | 43-44             | 23.8318      | -3.89581     | -1.87605     | 586.452      | 0.33         
40      | 21       | 71      | 0                 | 43-44             | 11.1357      | -3.77298     | -1.84701     | 242.382      | 0            
41      | 21       | 71      | 0                 | 43-44             | 15.4812      | -3.70475     | -1.78002     | 314.768      | 0            
42      | 21       | 71      | 0                 | 43-44             | 6.51938      | -3.78984     | -1.66729     | 144.313      | 3.8147e-06   
43      | 2212     | 1       | 0                 |                   | 7.04241      | -3.71803     | -1.84482     | 145.103      | 0.93827      
44      | 2212     | 1       | 0                 |                   | 3.10252      | -3.7292      | -1.64623     | 64.6477      | 0.93827      
45      | 333      | 2       | 0                 | 73-74             | 0.24806      | -5.7529      | -0.535383    | 39.0961      | 1.02655      
46      | 21       | 71      | 0                 | 47                | 6.06115      | -1.23292     | 0.114637     | 11.2818      | -3.15398e-07 
47      | 333      | 2       | 0                 | 75-76             | 2.33445      | -0.966012    | 0.468803     | 3.65899      | 1.02989      
48      | 21       | 71      | 0                 | 55 59-63 66       | 14.916       | -0.186384    | -2.93803     | 15.1759      | -3.09715e-07 
49      | 21       | 71      | 0                 | 55 59-63 66       | 87.0821      | -0.147584    | -3.10744     | 88.0322      | 1.05283e-06  
50      | 21       | 71      | 0                 | 55 59-63 66       | 9.04809      | -0.0629226   | 3.11245      | 9.066        | -6.08216e-07 
51      | 21       | 71      | 0                 | 55 59-63 66       | 77.4511      | 0.238403     | -2.40425     | 79.6625      | -2.39608e-06 
52      | 21       | 71      | 0                 | 55 59-63 66       | 5.67334      | 0.222706     | -2.46859     | 5.81461      | 2.1439e-07   
53      | 21       | 71      | 0                 | 55 59-63 66       | 50.24        | 0.210643     | -2.43059     | 51.3587      | -1.53127e-06 
